Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
11:08:46,38.0,1.792,1.028,1.051
11:08:47,38.0,1.792,1.039,1.006
11:08:48,37.5,1.793,1.052,1.051
11:08:49,37.5,1.789,1.010,1.013
11:08:50,38.0,1.794,1.065,1.033
11:08:51,37.7,1.792,1.014,1.029
11:08:52,37.9,1.792,1.026,1.000
11:08:53,37.4,1.790,1.037,1.020
11:08:54,37.9,1.792,1.047,1.027
11:08:55,37.8,1.791,1.025,1.011
11:09:15,37.5,1.793,1.015,1.031
11:09:16,37.7,1.792,1.028,1.005
11:09:17,38.4,1.792,1.012,1.027
11:09:18,37.9,1.790,1.050,1.046
11:09:19,37.8,1.792,1.060,1.050
11:09:20,37.9,1.791,1.038,1.061
11:09:21,38.4,1.792,1.031,1.008
11:09:22,37.8,1.789,1.028,1.005
11:09:23,38.1,1.793,1.050,1.028
11:09:24,38.1,1.792,1.024,1.041
11:09:25,37.9,1.791,1.061,1.033
11:09:26,38.3,1.793,1.015,1.030
11:09:27,37.9,1.791,1.010,1.006
11:09:28,38.0,1.791,1.010,1.025
11:09:29,38.5,1.791,1.011,1.020
11:09:30,38.0,1.793,1.020,1.028
11:09:31,37.5,1.792,1.050,1.039
11:09:32,38.3,1.792,1.008,1.023
11:09:33,37.7,1.790,1.012,1.025
11:09:34,38.0,1.792,1.004,1.018
11:09:35,38.3,1.791,1.019,1.031
11:09:36,38.1,1.792,1.033,1.043
11:09:37,37.8,1.794,1.061,1.051
11:09:38,37.7,1.792,1.021,1.034
11:09:39,38.1,1.792,1.031,1.002
11:09:40,37.7,1.791,1.046,1.036
11:09:41,38.0,1.792,1.044,1.012
11:09:42,37.7,1.790,1.044,1.064
11:09:43,38.4,1.790,1.038,1.033
11:09:44,38.4,1.790,1.054,1.044
12:28:23,38.0,1.791,1.005,1.017
12:28:24,38.4,1.791,1.035,1.060
12:28:25,38.8,1.792,1.006,1.015
12:28:26,37.8,1.792,1.026,1.033
12:28:27,38.0,1.790,1.042,1.056
12:28:28,37.9,1.792,1.026,1.007
12:28:29,38.4,1.790,1.056,1.052
12:28:30,38.5,1.794,1.035,1.063
12:28:31,38.5,1.792,1.015,1.006
12:28:32,38.0,1.792,1.036,1.051
12:28:33,38.0,1.791,1.066,1.043
12:28:34,37.9,1.792,1.030,1.006
12:28:35,38.6,1.790,1.026,1.008
12:28:36,37.7,1.790,1.057,1.055
12:28:37,38.3,1.791,1.027,1.051
12:28:38,38.0,1.792,1.021,1.033
12:28:39,38.0,1.792,1.025,1.034
12:28:40,37.9,1.793,1.059,1.047
12:28:41,38.0,1.791,1.055,1.053
12:28:42,38.3,1.794,1.037,1.053
12:28:43,38.8,1.792,1.010,1.019
12:28:44,38.3,1.792,1.050,1.039
12:28:45,38.5,1.790,1.042,1.031
12:28:46,38.4,1.792,1.046,1.027
12:28:47,37.8,1.792,1.052,1.049
12:28:48,38.1,1.792,1.039,1.002
12:28:49,38.3,1.792,1.036,1.048
12:28:50,37.7,1.792,1.033,1.047
12:28:51,37.8,1.792,1.014,1.022
12:28:52,38.5,1.792,1.041,1.027
